Auteur,Date,Commentaire,Note
Apolline,2024-11-07,je les porte plusieurs fois par semaine pour de la marche depuis plus dun an et franchement elles sont super confortable bon amorti super rapport qualiteprix en revanche elles ne sont pas impermeable mais pour le prix cest parfait,5
Philippe,2024-11-06,utilise pour de la marche rapide et footing light bon confort bon maintien,5
Isabelle,2024-11-06,bon rapport qualite prix conseil avec le sourire de la vendeuse,4
PATRICIA,2024-11-06,decu du produit achete en juin et l arriere de la chaussure interieur ce dechire deja,2
Yohan,2024-11-05,look et tres souple,5
JEAN LOUIS,2024-11-05,article conforme a mon attente,5
Vincent,2024-11-04,parfait,4
Valerie,2024-11-03,tres bien,5
Lucile,2024-11-03,tres bon produit pour debuter le trail,5
MIREILLE,2024-11-02,chaussures achetees pour des seances de gym et pour de petites balades sur route ou chemin de terre,5
CHRISTINE,2024-11-01,excellent produit tres plaisant a porter,5
Brigitte,2024-10-31,bon produit adapte a une large gamme de sports,4
Laurent,2024-10-31,jai achete ces chaussures pour faire de la marche active en plaine je nose plus les utiliser par temps humide car elles sont trop glissantes et jai peur de tomber,2
tiphaine,2024-10-30,content de lachat,5
Mylene,2024-10-29,tres confortable,5
Claire,2024-10-28,utilise au parkour tres bonnes chaussures,5
Corinne,2024-10-28,malgre un lassage tres detendu j ai des fourmis qui apparaissent rapidement j espere que ca va s ameliorer,3
Chantal,2024-10-28,achat de la meme paire de chaussure cela me convient,5
Charlotte,2024-10-27,bien pour debuter,4
Emma,2024-10-28,lacet trop court,2
Alexandra,2024-10-27,tres contente de mon achat,5
Céline,2024-10-27,bon rapport qualite prix utilisees en salle et en marche rapide legere bonne accroche,5
Magali,2024-10-26,jai du prendre tailles au dessus sinon la couture appuyait sur mon hallux valgus et me faisait mal sans etre en activite lors de mon er footing leger douleur legere au mollet et ampoule au niveau du talon haut de la chaussure a voir avec le temps pour linstant pas convaincue,3
Sarah,2024-10-26,super rapport qualite prix je recommande jadore la couleur,5
Isabelle,2024-10-26,maintien bien le pied tres legere,5
muriel,2024-10-25,essayer c est l adopte,5
Audrey,2024-10-25,ideale pour le running ou la marche confortables et legeres,5
Nicolas,2024-10-25,bon maintien confortable,5
